Filename,"Attachment ID",URL,"Alt Text",Purpose,Category,Priority,Status,"Uploaded At"
PXL_20251120_050336202.jpg,249,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050336202-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:54:58"
PXL_20251120_050346932.jpg,250,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050346932-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:00"
PXL_20251120_050412937.jpg,251,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050412937-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:01"
PXL_20251120_050423996.jpg,252,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050423996-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:02"
PXL_20251120_050437420.jpg,253,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050437420-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:03"
PXL_20251120_050447121.jpg,254,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050447121-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:05"
PXL_20251120_050452968.jpg,255,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050452968-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:06"
PXL_20251120_050509118.jpg,256,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050509118-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:07"
PXL_20251120_050513122.jpg,257,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050513122-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:08"
PXL_20251120_050627441.jpg,258,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050627441-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:09"
PXL_20251120_050631375.jpg,259,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050631375-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:10"
PXL_20251120_050645861.jpg,260,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050645861-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:12"
PXL_20251120_050709084.jpg,261,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050709084-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:13"
PXL_20251120_050713718.jpg,262,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050713718-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:14"
PXL_20251120_050837198.jpg,263,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050837198-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:16"
PXL_20251120_050853740.jpg,264,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050853740-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:17"
PXL_20251120_050859562.jpg,265,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050859562-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:18"
PXL_20251120_050909264.jpg,266,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050909264-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:19"
PXL_20251120_050927534.jpg,267,http://localhost:8888/aitsc-wp/wp-content/uploads/2026/01/PXL_20251120_050927534-scaled.jpg,"Pcb design hero image",hero,pcb-design,critical,Success,"2026-01-05 13:55:21"
